author_id,verified_buyer,reviews,date,upvote,reviewer_name,ratings,start_time,end_time,company_name
review-9863201,Verified Reviewer,My family sent me something that is mine. Not a purchase just personal things. It is being held by DHL asking for documents such as mortgage/let contract and work contract. I have a work/residence permit and social sec number. Since when is DHL an immigration agent? Still I sent the documents and each time they ask for something else. And they state I have not sent them anything however 4 times the documents were sent. I am sure they want a bribe for my parcel to be released. They lied to my family about the status of my parcel.,"March 18, 2021",6,"Gabriela of Weener, Other",1.0,2021-05-26 10:49:57.191541,2021-05-26 10:50:00.325830,DHL
review-9837740,Verified Reviewer,"Worst Service by DHL, I would never suggest any of my colleagues to go with DHL Service. Since last 8 days I am continuously following up with DHL to activate my account, in spite of clearing the balance, in spite of credit balance available of us with them, I still made the payment but 'til date there is no response receive from them. They do not have the courtesy to at least call or revert via email. They only pass on emails internally with cc to me but no solution. I would suggest to go with FedEx, they are very good in service also good response.","March 8, 2021",5,"Rani of Other, Other",1.0,2021-05-26 10:50:00.325830,2021-05-26 10:50:00.446881,DHL
review-9686090,Verified Reviewer,"I purchased an item on the 1/19/2021. According to the tracking provided it landed in Sydney Australia (the destination country) on 26/01/2021 at 21:00:00hrs. DHL then proceeded to forwarded it on the UK where it arrived on the 03/02/2021. On the 09/02/2021 it was being processed for a second time at a Transit Facility in FRANKFURT/M, DE, Germany. The item left DHL Germany on the 9th February. At the time of writing (23/02/2021) it is listed as being in transit, I have tried following its progress with DHL with no appreciable success. DHL's communications have consisted of generic computer generated rubbish and despite having registered with them for email and phone messaging regarding the tracking I have received no updates. Honestly, based on my current experience I will never recommend DHL eCommerce for deliveries, nor purchase a product from a vendor who uses their service.Su","Feb. 23, 2021",1,"Stephen of Sunnybank, Other",1.0,2021-05-26 10:50:00.446881,2021-05-26 10:50:03.588826,DHL
review-9555632,Verified Reviewer,Worst shipping company. Complete incompetence. Professional time wasters. My package that I paid for door to door service has still not been delivered and it’s over a week late. No delivery notice left at my address. A dozen phone calls made to DHL customer service and the issue has still not been resolved. Nothing but excuses and a total lack of any concern for the garbage service provided by any of the employees of this company. Save yourself the headaches and go with FedEx. A police report has been filed for theft.,"Feb. 19, 2021",1,"John of Beverly Hills, CA",1.0,2021-05-26 10:50:03.588826,2021-05-26 10:50:07.732082,DHL
review-9553466,Verified Reviewer,"I bought a lens from a Japanese seller to be imported to the EU for my own personal use. They told me by SMS that they were going to charge me 115 USD for customs, which I agreed to, then, without consultation or explanation, they added another 16 dollars. They ended up charging me almost half the value of the product (270 USD). If you do the calculations, you can see that they charged far too much for 'administrative services'. Ridiculous, given that the seller had already paid quite a lot to them to send the item. Other companies are more honest.","Feb. 18, 2021",9,"Kevin of Madrid, Other",1.0,2021-05-26 10:50:11.784231,2021-05-26 10:50:15.189594,DHL
review-9548204,Verified Reviewer,"Hey all just a heads up, DHL express is the worst service. Tried to get the package from India to USA with express service. But the package has not delivered on time and delayed because of unnecessary reasons. I would not recommend.","Feb. 16, 2021",8,"syedj of Chicago, IL",1.0,2021-05-26 10:50:15.189594,2021-05-26 10:50:17.437528,DHL
review-9531836,Verified Reviewer,"Five years go I received envelope, 6 weeks late, severely damaged and empty of its important docs. DHL refused to take any responsibility for the carnage, refused to return the pricy international shipping costs. Recently, Amazon, in some gross oversight, used DHL to send a package. They had the correct zip but sent the package via the USPS to a town 30 miles away. Instead of the local post office, 1 mile away. Again, they refused to account for their negligence and left it up to me to secure the package. DHL is a world of excuses and incompetence. Avoid at all costs.","Feb. 10, 2021",8,"Mark of Lancaster, VA",1.0,2021-05-26 10:50:17.437528,2021-05-26 10:50:20.700578,DHL
review-9378956,Verified Reviewer,"I shipped an Apple Watch from Qatar to India. First of all, the fee for transfer told by the customer care did not match the fee at the counter. I had a hard time to convince them about the amount. Secondly, they provided the incomplete information regarding the shipping process. I was told that it will reach in 4 working days. But until today, i.e. 2nd Feb 2021, it has not yet reached the destination. DHL provided the wrong/incomplete information. I was using their service for the first time and they let me down high. I am not going to recommend anyone for their services. The DHL customer care in India also have no idea and they are just giving false information every time they are contacted. They put the wrong value of the item and I am facing an issue now as customs in India has asked me to provide the purchase bill. The item's value is mismatching and I am asked to give a clarification for this. Their customer care have no idea about the shipping process and the actual time taken to ship. I am highly disappointed in their service.
                    ","Feb. 2, 2021",7,"Mohammad of Umm Salal, Other",1.0,2021-05-26 10:50:20.700578,2021-05-26 10:50:24.958279,DHL
review-9371282,Verified Reviewer,"I am a member of ipsy who has very well wrapped products with very sticky tape that makes it difficult to open. Yesterday I received two tampered re-taped bags. One in particular was placed in a new bag with a cheap flimsy sticker to close the opening instead of using the tape that the packaging comes with to ensure it's sealed and prevents stealing unless someone purposefully opens the package and replaces it with a new bag. Can't say if it was tampered with on the way with ipsy service and they have employees that are stealing or once it hit DHL service it was tampered with but it was left open on my front porch. One missing product and of course it was a full size ANASTASIA mascara product. I was refunded but my issue is that there seems to be no issue with theft if this type of behavior is tolerated and packages are processed like this. I will be cancelling my membership with ipsy in fear of future theft. Just disappointed that this is hard to report through the system and generally theft happening with courier Services.
                    ","Jan. 29, 2021",4,"angelica of Palo Alto, CA",1.0,2021-05-26 10:50:24.958279,2021-05-26 10:50:28.239116,DHL
review-9358370,Verified Reviewer,"DHL IS THE WORST DELIVERY SERVICE. I ordered a book from USA on 24th August 2020. I am writing this review on 23/01/2021 after being on the call with DHL customer care service. They had the audacity to tell me that since my shipment is old it is taking time to retrieve it. DUMB PEOPLE, IT IS OLD BECAUSE YOU HAVE FAILED TO DELIVER IT ON TIME. 5 months have passed and I have lost the hope to ever see it. Think you can crack them? Try calling and emailing whole day, all you will ever get is automated replies. Don't waste your time folks. It's better to swim overseas and take the thing yourself than relying on this incompetent excuse of a company.","Jan. 23, 2021",1,"Varneet of India, Other",1.0,2021-05-26 10:50:28.239116,2021-05-26 10:50:32.491616,DHL
review-9221411,Verified Reviewer,"This is my second bad experience about delivery from DHL to my place, I'm sure one of delivery guy in my area stealing items from customers and sign it by her/his self as a fake sign to delivered to customers but not true, that's a shame! I phoned them but they are so slow to response and not resolve my issue till now. My track Number is **.  The DHL should find out who's stealing customer's items from their system, one of my friend had the same issue in past, I Won't remove my review till resolve my problem.","Jan. 11, 2021",1,"Andrew of Waltham Abbey, Other",1.0,2021-05-26 10:50:32.491616,2021-05-26 10:50:32.746785,DHL
review-9079865,Verified Reviewer,"After waiting over 8 months, DHL Express could not deliver my product ordered from Canada. They got my address wrong and instead of calling me for directions they just cancelled the delivery. Terrible.","Jan. 6, 2021",8,"Larry of Gardnerville, NV",1.0,2021-05-26 10:50:32.746785,2021-05-26 10:50:36.977904,DHL
review-9078197,Verified Reviewer,"Worst ever! My package fee was extremely expensive... just because I thought they would be reliable! They had a custom clearance request, DHL slept on it for 5 days!! No response whatsoever or update from their side... until I called them and reached out and pushed! Until now the package hasn't been received, I was charged 230 USD for some clothes that were supposed to be a birthday gift for my nephew. His birthday is over and still the package is not there! First and last time to use DHL. I wish I read those reviews earlier!","Jan. 6, 2021",9,"Maisoun of U.A.E., Other",1.0,2021-05-26 10:50:36.977904,2021-05-26 10:50:38.235780,DHL
review-9076163,Verified Reviewer,Absolutely terrible shipping service. I paid for express delivery to arrive before Christmas. It's the 5th of January and I still have not received my shipment. Ridiculous unprofessional uselessness company.,"Jan. 5, 2021",9,"Starlene of Accomac, VA",1.0,2021-05-26 10:50:38.235780,2021-05-26 10:50:42.473493,DHL
review-9067250,Verified Reviewer,"They blew a business deal that was supposed to be closed in 2020, by not delivering the important document overseas. Incompetent, negligent company. They actually had it in the right city, but refused to release it to the recipient because of their error. Do they shipped back to USA. And now it is sitting somewhere.","Dec. 31, 2020",1,"Alla of Lenox, MA",1.0,2021-05-26 10:50:47.599362,2021-05-26 10:50:50.035074,DHL
review-9065258,Verified Reviewer,"Let me say first I'd rather not use their service at all but one of my vendor uses them to deliver to me. The first time a package was delayed in Morrisville because they couldn't find the address and I called repeated and was always prompted to the website... Then yesterday I was notified my package was delivered but it was taken to the wrong house on a totally different street.. Errors that can be avoided with giving attention to delivery address clearly noticed on the package. I called customer service, got no help, was told I'd receive a call with 4 to 6 hours. I received nothing from them. No call. Nothing. I have a couple more package coming via my vendor but I'm gonna let the vendor know about the ""SORRY SERVICE"" they are paying for.","Dec. 30, 2020",7,"Dianne of Garner, NC",1.0,2021-05-26 10:50:50.035074,2021-05-26 10:50:52.309171,DHL
review-9061979,Verified Reviewer,"I paid extra for express shipping that they told me would take 2-3 days, instead AFTER paying they made my delivery date for 7 days after shipping. THEN the delivery date comes and they tell me “we’re backed up and can’t deliver it today” after I got a text from them 4 hours prior saying it was out for delivery. I still don’t have my package and it’s now day 8 and no one has any answers. April the customer service supervisor told me I can drive to their packing facility 1 hour away and go pick it up if I want it.","Dec. 29, 2020",6,"Nycole of Absecon, NJ",1.0,2021-05-26 10:50:52.309171,2021-05-26 10:50:52.557484,DHL
review-9054224,Verified Reviewer,"They sent me a text to track my package. Didn't arrive and not updated on website. So I called that number didn't work. Found a number by a search. Person who answered said my tracking number didn't exist so I asked for a supervisor since they texted me the number and the link they sent me got to a site that showed my package. Naturally I got hung up on and not transferred. So I called again and got a different person who found the tracking number but said I didn't pay the duty. I told her I did 2 days ago and I could read the receipt number. She was rude. Since it was 2 minutes after the people left where the package would be delivered I asked how I would be notified. She said they would just show up. I asked when and her response was that she had no idea. I asked her to have them call me since today is December 23rd and my employees aren't working on Xmas eve or Xmas. She said they don't do that. I said, ""Well they texted me so can they at least do that when it will be delivered."" Answer = NO. They will just try another day. How stupid is it in this day and age to not call someone. DHL is totally inept, their website doesn't work, their people are rude and they can't figure out that it is a lot cheaper to call before they deliver a package to make sure someone is there. Especially when it is the 23rd of December and they were supposed to deliver it today.
                    ","Dec. 23, 2020",8,"Mike of Springfield, IL",1.0,2021-05-26 10:50:52.557484,2021-05-26 10:50:53.821450,DHL
review-8937851,Verified Reviewer,"DHL says that they're the global leader in the logistics industry specializing in international shipping. However, there is no logistics once we can't get the goods on time! I've BOOKED to RECEIVE my package and I took the day off from work hoping to get it by the end of the day as it says on the website and for my disappointment, it is not right, not true! Nonetheless, I spoke to ASHIKA ** who works at this company and she said that there's nothing the DHL company can do for me. In short, in my point of view, the company DHL overcharge for their services lie to the customers and it is not a reliable company. Very disappointed!","Dec. 14, 2020",1,"Cel of Maroubra, Other",1.0,2021-05-26 10:50:53.821450,2021-05-26 10:50:54.064450,DHL
review-8937026,Verified Reviewer,"I am extremely disappointed and fed up with you and your service. My package was declared as less than $60 of value and gift and yet you managed to charge me $20 for taxes and duties! It only happens with DHL! With other shipping companies I've received products for over $300 and never got charged! Please don't write back saying that you have no control over the custom's duties because as I reiterate, it only happens with your company! If the value is less than $60 and a gift the law says I should not be charged extra taxes and duties. You guys are running a legalized scam and you are in it with the dirty government. You should be ashamed of yourselves. My sister often sends gifts from Italy and we always get scammed by you. Rest assured this is the last time we use DHL unless you give me my money back including a previous shipment where I got charged over $60 for taxes and duties! Speculating on people's gifts on Xmas for your financial gain, how can you do that? You have no moral compass!
                    ","Dec. 13, 2020",7,"Simone of Whitchurch-Stouffville, ON",1.0,2021-05-26 10:50:54.064450,2021-05-26 10:50:57.338784,DHL
review-8817194,Verified Reviewer,"This company is frustrating. They want you to wait the whole week to get your parcel from their delivery man. They don't have option to pick it up from their nearest office to my address. There's a third party that delivered your package and the same way they don't have option. As of this writing, my package was sent to back to the USA. Customer service is good in saying ""it's not our problem"". This happened twice. One of my parcel from Cyprus and a 3 set of scrub suits I ordered online. Please deal with another courier than DHL. Totally frustrating.","Dec. 8, 2020",1,"Noy of Canada, Other",1.0,2021-05-26 10:50:57.338784,2021-05-26 10:50:59.580982,DHL
review-8812235,Verified Reviewer,"I used to think DHL was a pretty solid company in terms of customer service and shipping. I’m also not a fan of writing ‘bad’ reviews to businesses, but as a business owner myself, delivering with DHL has starkly decreased the reputation of my business in terms of unreliable shipping and snobbish customer service assistants. Not only was my parcel sent to Singapore held up at customs for 4-5 days, the DHL representatives in Singapore took forever to reply to my emails. Here’s what happened: When I first found out that my shipment was on hold, I immediately rang DHL Express’s customer service. The 2 representatives who served me told me that they’d forwarded an email to the representatives in Singapore and get them to contact me, that it was most likely a tax that I needed to pay. I was totally fine and understood the process at that point. I gently informed them not to contact me via phone as I would be on a flight the next day, and that an email would suffice. Not only did the DHL representatives in Singapore contact me by phone when I clearly told them not to, there was no link to pay my import taxes in the email as instructed. I replied them back kindly and told them to send me a link. I had to wait 2 whole days just for the link to be sent via my message (meanwhile my email hasn’t even been replied). After paying my taxes via the link sent, my package has still not been DELIVERED after a whole DAY. NO UPDATES were provided on my tracking package, and all they could give was “we can only deliver the next working day”. As of in 5 hours time by 12 midnight, this would mark 5 WORKING DAYS. I’ve even expressed that I needed this parcel URGENTLY. They, however, could not care less. This experience has been shocking yet eye-opening. I would highly recommend delivering via Royal Mail or Parcel Force or FedEx. DHL has disappointed me greatly. Please do not bother contacting DHL customer service for anything. Many of them aren’t trained and give generic, disingenuous responses. As a courier who once held high impeccable standards in the industry, they’ve sunk far down. The sad thing is they’re probably still keeping their noses high up in the air thinking they can conveniently blame “COVID-19” for every preventable mishap they have. This is what happens when a company becomes complacent.
                    ","Dec. 5, 2020",1,"Hillary of Singapore, Other",1.0,2021-05-26 10:50:59.580982,2021-05-26 10:51:02.839372,DHL
review-8685605,Verified Reviewer,"You always truly know a company's customer service when something goes wrong, and you need them to solve it or at least make a fast sincere apology and a fair refund. Listen carefully to what happened to me. On November 5th, I shipped a package with some medicine to a friend of mine in Brazil because his little daughter suffers from a severe allergic reaction, and it was easier, faster and cheaper to get this done here in Canada than in Brazil, believe me. I tracked the package during the whole process and kept my friend informed since this important shipment had to get to its destination as soon as possible since we don't know when the next allergic reaction would occur, and they were running out of this medicine there.The package with this medicine worth CAD$ 408.87 was delivered on November 9th, which is pretty fast based on prior experiences. But to our unfortunate surprise, the package arrived empty. DHL in Brazil went on an investigation to figure out what happened to the package, but they didn't find anything. It took 9 more days to inform my friend in Brazil that they couldn't find anything there. They notified DHL Canada, and in a couple of days, I received an e-mail asking me to file a claim for formalities, and I did it immediately!At this moment, even though we were all sad because this simple task of sending a package with this important medicine was not accomplished because we all know that kind of things happens, we were tied to the hope of getting a fast, sincere apology and of course, the fair refund to buy the medicine and send it again. But guess what, it didn't happen this way! I have just received a call from a gentle and respectful attendant calmly saying that I would be refunded only CAD$ 3 and some cents calculated based on the weight of the package because I didn't choose to check the insurance option. I was frozen, not believing in what I've just heard. At that moment, I thought that was some lame prank. But that was what they told and offered me.It is unbelievable that such a big and renowned company, at least I thought it was, has this awful kind of policy. I will never, ever use DHL again, and I will do my best to discourage people from doing so. I'm actually going to do this bad review in all media I have access to, including my website ** where I have numerous followers.
                    ","Nov. 30, 2020",1,"Ricardo of Mississauga, ON",1.0,2021-05-26 10:51:02.839372,2021-05-26 10:51:04.093328,DHL
review-8658335,Verified Reviewer,"From US to Canada the ""duty"" charge was about 55% of the value of the item. This is their mo, never experience this with other shippers. I now make a point of checking or asking who the shipper is before ordering.","Nov. 23, 2020",1,"Al of Breadalbane, PE",1.0,2021-05-26 10:51:04.093328,2021-05-26 10:51:05.323984,DHL
review-8657921,Verified Reviewer,"I sent a package (three documents) to Cancun Mexico from Miami, FL. I was promised it will take 2 days to be received. It’s been a week and it has not been delivered yet. It went from Miami to Cincinnati, to Mexico City, to Querétaro, back to Mexico City (?) three days sitting there and now looks like is in Cancun but still don’t know when it will be delivered. I should have used USPS. Probably as slow but much cheaper. Shame in a company who used to be # 1 for international package service.","Nov. 23, 2020",9,"Luis of North Miami Beach, FL",1.0,2021-05-26 10:51:05.323984,2021-05-26 10:51:07.597738,DHL
review-8653025,Verified Reviewer,"I have been selling online for years and I have never seen this. Recently, a customer from the United States was kind enough to contact me to tell me that she had received her package ... along with several other DHL packages from several other of my customers. At the same time, I noticed when I check my DHL tracking numbers that 5 packages were lost ... I guess these are the packages received in error by my US customer. I contacted DHL again and again. DHL Canada was asking me to contact DHL US to resolve this issue, and DHL US was asking me to contact DHL Canada. Apparently when they make huge mistakes, it is not their problem.Several days later I still don't know what happened. So I will have to reship the items to my customers through another courier company, in addition to the $300 lost due to this huge mistake. On the top of that, another customer contacted me to let me know that DHL refuses to deliver his package. They are stating that no address is on file for this item to be shipped even though I shipped this package (I have the tracking number as proof) to the correct address. About 30 shipments the same day and 6 major problems out of the 30... It is a shame. If you are an online seller, please avoid DHL.
                    ","Nov. 20, 2020",7,"Muriel of Québec, QC",1.0,2021-05-26 10:51:07.597738,2021-05-26 10:51:11.842522,DHL
